token,rating,standarddeviation,rawrating
Hago,1.2,0.4,"[1, 2, 1, 1, 1, 2, 1, 1, 1, 1]"
hak,1.9,0.7,"[3, 1, 2, 2, 1, 2, 3, 2, 1, 2]"
kamot,2.2,0.87178,"[2, 2, 1, 3, 2, 3, 4, 1, 2, 2]"
kasingkasing,3.2,0.63246,"[3, 3, 4, 3, 4, 2, 3, 4, 3, 3]"
kasingkasing,3.3,0.48305,"[4, 3, 3, 3, 4, 3, 3, 3, 4, 3]"
sagpa,0.6,2.15407,"[2, -1, 1, -1, 0, 4, -3, 4, 1, -1]"
slaw,2.1,1.04403,"[3, 2, 0, 2, 2, 2, 3, 1, 4, 2]"
smh,-1.3,0.64031,"[-2, -1, 0, -1, -1, -2, -2, -1, -2, -1]"
snafu,-2.5,1.11803,"[-3, -4, -3, -3, -1, 0, -2, -3, -3, -3]"
hilak,-2.8,0.9798,"[-3, -4, -3, -2, -2, -1, -2, -4, -4, -3]"
swak,2.3,1.00499,"[2, 2, 2, 1, 4, 2, 3, 2, 1, 4]"
tgif,2.3,1.34536,"[1, 3, 3, 3, -1, 2, 4, 2, 3, 3]"
salamat,1.4,0.4899,"[1, 2, 1, 2, 1, 2, 1, 1, 2, 1]"
thx,1.5,0.92195,"[0, 1, 3, 2, 1, 2, 1, 1, 3, 1]"
tia,2.3,0.9,"[3, 1, 2, 1, 4, 3, 2, 3, 2, 2]"
tmi,-0.3,1.61555,"[-1, -1, 2, -1, 1, -2, -2, -1, 3, -1]"
tnx,1.1,0.53852,"[2, 1, 1, 0, 1, 1, 2, 1, 1, 1]"
tinuod,1.8,1.32665,"[2, 1, 1, 0, 1, 4, 3, 1, 4, 1]"
biyaan,-1.9,0.53852,"[-1, -2, -2, -2, -2, -3, -2, -2, -1, -2]"
gibiyaan,-2,1.09545,"[-1, -1, -3, -2, -1, -4, -1, -3, -3, -1]"
talikdan,-2,1.09545,"[-1, -1, -3, -2, -1, -4, -1, -3, -3, -1]"
gidagit,-1.9,0.83066,"[-1, -1, -3, -2, -1, -3, -1, -2, -3, -2]"
mga mibiya,-1.9,0.83066,"[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]"
pagbiya,-1.6,0.8,"[-3, -2, -3, -2, -1, -1, -1, -1, -1, -1]"
pagbiya,-2.4,1.0198,"[-4, -2, -1, -4, -2, -1, -2, -3, -3, -2]"
pagbiya,-1.7,0.45826,"[-2, -1, -2, -2, -1, -2, -1, -2, -2, -2]"
gibiyaan,-1.3,0.9,"[-2, -1, -1, -2, -1, -2, -1, -2, 1, -2]"
gidagit,-2.3,1.18743,"[-3, -1, 0, -3, -1, -3, -4, -2, -3, -3]"
pagdagit,-2.8,0.87178,"[-4, -3, -3, -4, -1, -3, -2, -2, -3, -3]"
pagdagit,-2,1.41421,"[-3, -4, -1, -3, -1, -3, 1, -2, -1, -3]"
kasilagan,-2,1.09545,"[-3, -3, -1, -1, -2, -1, -3, -3, 0, -3]"
salawayon,-2,1.09545,"[-3, -3, -1, -1, -2, -1, -3, -3, 0, -3]"
pagdumot,-2,1.09545,"[-3, -3, -1, -1, -2, -1, -3, -3, 0, -3]"
gikasilagan,-2,1.09545,"[-3, -3, -1, -1, -2, -1, -3, -3, 0, -3]"
gidumtan,-2.4,1.49666,"[-4, -4, 0, -3, -2, -1, -4, -3, -3, 0]"
salawayon,-3.1,1.3,"[ -4, -4, -4, -2, 0, -4, -2, -3, -4, -4]"
gikasilagan,-2.9,1.51327,"[0, -4, -3, -3, -4, -4, 0, -4, -3, -4]"
abilidad,1,0.63246,"[1, 2, 0, 1, 0, 1, 1, 1, 1, 2]"
abilidad,1.3,0.64031,"[1, 1, 1, 0, 1, 2, 2, 2, 2, 1]"
sakay,0.1,0.3,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
absent,-0.8,0.6,"[-1, 0, 0, -1, -1, 0, -2, -1, -1, -1]"
pasayloa,1.2,1.46969,"[2, -3, 2, 2, 1, 1, 2, 1, 2, 2]"
giabswelto,1.5,0.92195,"[3, 1, 2, 1, 0, 2, 3, 1, 1, 1]"
abssolve,1.3,1.00499,"[3, 1, 1, 0, 0, 2, 3, 1, 1, 1]"
pagwagtang,1.6,0.8,"[3, 1, 2, 1, 1, 2, 3, 1, 1, 1]"
pag-abuso,-3.2,0.6,"[-4, -2, -3, -4, -3, -4, -3, -3, -3, -3]"
